AÑO,MES,T_MEDIA_MAX,T_MED_MIN,T_MEDIA,PRECIP,HR_MED_MAX,HR_MED_MIN,HR_MEDIA,RADIACION,V_V_MED_MAX,V_V_MEDIA,EVAP
2002,1,19.6,2.1,10.8,13.1,78.1,24.6,50.4,598357.8,20.5,9.1,155.2
2002,2,21.9,3.7,12.9,18.6,71.6,19.7,43.1,663136.9,22.3,10.4,172.3
2002,3,24.1,5.1,15.1,10.7,61.3,15.3,34.8,843493.4,23.1,10.6,235.1
2002,4,27.4,9.8,19.4,2.4,62.2,14.3,34.7,920845.6,22.7,9,257
2002,5,28.8,12.7,20.9,40.6,73,15.7,41.6,977664.8,23.2,8.3,228
2002,6,26.6,13.3,19.8,110.8,85,27.8,56.4,962155.1,19.4,8.3,239.9
2002,7,23.7,12.5,17.5,130,95.2,43.5,73.9,853349.5,18,6.3,165.7
2002,8,24.1,11.7,17.7,144.8,93.9,40.5,70.4,919811.4,15.4,5.5,175.5
2002,9,23.6,11.5,16.9,148.8,96.4,41.4,74.5,793200.5,14.3,4.8,134.6
2002,10,23.9,9.8,16.5,51.2,94.4,34.9,67.5,751771.5,16,6.1,135.1
2002,11,20.5,5.3,12.6,11.8,85.7,30.7,58.7,639823.6,15,6.2,111.6
2002,12,19.6,2.5,10.9,0,76.3,18.1,44.6,638957.8,19.5,8.8,149.1
2003,1,19.5,1.8,10.8,2.6,75.2,21.8,46.3,617109.5,17.3,6.9,126.3
2003,2,21.9,5,13.2,7.6,72.5,17.7,43.3,722667.5,26.5,12.1,197.7
2003,3,24.1,4.4,14.8,0,46.9,8,23,959846.6,25.8,12.3,291.3
2003,4,26.6,10.1,18.8,0.8,49.1,13.1,28,834964.8,22.2,9.7,278
2003,5,30.2,12.4,21.9,19.2,57.9,13.1,32.5,1028399.9,24.6,9.3,331.8
2003,6,27.3,13.8,20.3,19.4,85.7,25.7,55.6,835250,21.5,8.4,231
2003,7,23.3,12.6,17.3,179,92.9,43.5,72,733799.1,19.4,7.2,162.4
2003,8,23.9,12.1,17.7,110.2,94.2,40.5,69.7,861180.8,19,6.3,180.3
