AÑO,MES,T_MEDIA_MAX,T_MED_MIN,T_MEDIA,PRECIP,HR_MED_MAX,HR_MED_MIN,HR_MEDIA,RADIACION,V_V_MED_MAX,V_V_MEDIA,EVAP
2002,1,20.7,-0.1,10.2,10,82.1,22,51.2,554381.5,19.9,7.9,96.5
2002,2,23.1,1.8,12.7,15,77.1,17.7,43.6,616161.3,22.4,9.3,103.9
2002,3,25.4,3.4,15.1,9,68.7,13.3,35.8,797706.4,23.6,10,190
2002,4,28.2,6.4,18.3,2.5,62.1,11,30.2,852734.4,23.8,10.2,199.4
2002,5,29.4,11.3,21,13.4,80.1,16,44.3,887562.3,24.1,7.3,233.1
2002,6,27.6,12.3,20.1,54.8,89.3,27.5,57.2,849504.3,18.3,7,221.7
2002,7,25.2,12.4,18.2,126.8,97.4,38.1,72.8,787886.5,21.1,6.8,169.6
2002,8,25.6,11.7,18.2,97.8,97.3,37.5,71.7,833401.5,16.8,5.2,179.3
2002,9,24.6,11.2,17.4,113.8,98.2,41.1,74.9,709572.9,13.4,3.9,135.9
2002,10,25.5,8.3,16.5,56.2,97.4,32.2,68.6,653354.8,14.4,4.5,118.7
2002,11,21.5,3.2,11.8,15.8,95.8,29.8,65.1,541661.8,14.1,4.4,81.6
2002,12,21.1,-0.4,9.8,3,87.2,17.1,51.4,519019.7,16.6,5.6,77.4
2003,1,20.2,-0.9,9.7,0.2,83.7,22.6,51.5,513534.9,13.9,4.6,82.4
2003,2,22.8,3.2,13,5.4,79.9,18,45.7,572745.3,23,8.8,122.1
2003,3,25.4,2.9,14.9,0,52.2,7.9,24.9,829909.2,24,10.1,209.5
2003,4,27.9,8.8,19,1.4,58.3,12.6,30.7,726796.4,22.1,10.6,206.2
2003,5,31.3,10.9,21.9,12,67.2,13.6,36.3,911467.8,24.2,9.9,263.1
2003,6,27.9,13.6,20.7,34.6,91.4,27.9,58.7,773080.6,21.7,9.2,183.3
2003,7,24.3,12.3,17.7,153.8,96.8,44.2,74.7,724295.3,19.2,7.3,149.1
2003,8,25.1,11.5,17.8,65,98.3,40.4,74.2,765999.2,18.5,6.3,148.6
2003,9,24.4,12.6,17.7,136.2,99.1,47.1,79.5,642830,15.6,6.1,117.9
2003,10,23.1,7.6,14.7,114.4,98.8,39.2,75.8,619569.6,13,4.7,101
